Date	Cons	Prod	 P_net
2018-08-04 00:00:00	1482.5	0.0	1482.5
2018-08-04 00:30:00	1370.8333333333333	0.0	1370.8333333333333
2018-08-04 01:00:00	1334.1666666666665	0.0	1334.1666666666665
2018-08-04 01:30:00	1330.8333333333335	0.0	1330.8333333333335
2018-08-04 02:00:00	1333.3333333333335	0.0	1333.3333333333335
2018-08-04 02:30:00	1332.5	0.0	1332.5
2018-08-04 03:00:00	1337.5	0.0	1337.5
2018-08-04 03:30:00	1335.8333333333333	0.0	1335.8333333333333
2018-08-04 04:00:00	1331.6666666666665	9.574800000000002	1322.0918666666664
2018-08-04 04:30:00	1353.3333333333333	102.71699999999998	1250.6163333333334
2018-08-04 05:00:00	1455.8333333333335	333.54240000000004	1122.2909333333334
2018-08-04 05:30:00	1512.5	677.9322	834.5678
2018-08-04 06:00:00	1515.8333333333333	1403.7384	112.0949333333333
2018-08-04 06:30:00	1513.3333333333333	2051.9766	-538.6432666666667
2018-08-04 07:00:00	3402.5	3769.9866	-367.4866000000002
2018-08-04 07:30:00	3813.333333333333	6190.6536	-2377.3202666666666
2018-08-04 08:00:00	2708.3333333333335	7899.513000000001	-5191.179666666667
2018-08-04 08:30:00	2673.333333333333	9362.0334	-6688.700066666667
2018-08-04 09:00:00	2693.333333333333	10655.600999999999	-7962.267666666666
2018-08-04 09:30:00	2960.8333333333335	11775.1254	-8814.292066666667
2018-08-04 10:00:00	3040.8333333333335	12664.0668	-9623.233466666667
2018-08-04 10:30:00	3197.5	13402.2354	-10204.7354
2018-08-04 11:00:00	4062.5	13753.533600000002	-9691.033600000002
2018-08-04 11:30:00	5626.666666666666	13881.0966	-8254.429933333335
2018-08-04 12:00:00	5776.666666666666	13812.8004	-8036.133733333334
2018-08-04 12:30:00	4284.166666666666	13629.4248	-9345.258133333335
2018-08-04 13:00:00	4434.166666666666	12966.7032	-8532.536533333334
2018-08-04 13:30:00	6019.166666666666	12454.9362	-6435.769533333334
2018-08-04 14:00:00	5658.333333333333	12233.140199999998	-6574.806866666665
2018-08-04 14:30:00	3801.6666666666665	11177.1246	-7375.457933333333
2018-08-04 15:00:00	3858.333333333333	9535.955399999999	-5677.622066666666
2018-08-04 15:30:00	4135.833333333333	8805.5436	-4669.710266666668
2018-08-04 16:00:00	2792.5	7407.8045999999995	-4615.3045999999995
2018-08-04 16:30:00	1665.0	5428.245	-3763.245
2018-08-04 17:00:00	1492.5	3299.7912	-1807.2912000000001
2018-08-04 17:30:00	1330.0	1714.4951999999998	-384.49519999999984
2018-08-04 18:00:00	1330.0	781.3763999999999	548.6236000000001
2018-08-04 18:30:00	1330.8333333333335	385.8402	944.9931333333335
2018-08-04 19:00:00	1330.8333333333335	104.0502	1226.7831333333336
2018-08-04 19:30:00	1327.5	0.0	1327.5
2018-08-04 20:00:00	1321.6666666666665	0.0	1321.6666666666665
2018-08-04 20:30:00	1317.5	0.0	1317.5
2018-08-04 21:00:00	1322.5	0.0	1322.5
2018-08-04 21:30:00	1322.5	0.0	1322.5
2018-08-04 22:00:00	1320.8333333333335	0.0	1320.8333333333335
2018-08-04 22:30:00	1321.6666666666665	0.0	1321.6666666666665
2018-08-04 23:00:00	1323.3333333333333	0.0	1323.3333333333333
2018-08-04 23:30:00	1323.3333333333333	0.0	1323.3333333333333
2018-08-05 00:00:00			
