Date	Cons	Prod	 P_net
2018-08-07 00:00:00	1374.1666666666665	0.0	1374.1666666666665
2018-08-07 00:30:00	1380.0	0.0	1380.0
2018-08-07 01:00:00	1380.0	0.0	1380.0
2018-08-07 01:30:00	1379.1666666666665	0.0	1379.1666666666665
2018-08-07 02:00:00	1379.1666666666665	0.0	1379.1666666666665
2018-08-07 02:30:00	1381.6666666666665	0.0	1381.6666666666665
2018-08-07 03:00:00	1381.6666666666665	0.0	1381.6666666666665
2018-08-07 03:30:00	1394.1666666666665	0.0	1394.1666666666665
2018-08-07 04:00:00	1448.3333333333335	5.272200000000001	1443.0611333333334
2018-08-07 04:30:00	1605.8333333333335	78.7194	1527.1139333333335
2018-08-07 05:00:00	4657.5	340.2084	4317.2916000000005
2018-08-07 05:30:00	10671.666666666668	744.9558	9926.710866666668
2018-08-07 06:00:00	7304.166666666667	1277.145	6027.021666666667
2018-08-07 06:30:00	3874.166666666667	2241.7152	1632.4514666666669
2018-08-07 07:00:00	4415.0	3856.281	558.719
2018-08-07 07:30:00	5504.166666666666	5493.026400000001	11.140266666665411
2018-08-07 08:00:00	5970.0	6960.516	-990.5159999999996
2018-08-07 08:30:00	6281.666666666666	8470.7892	-2189.122533333333
2018-08-07 09:00:00	6189.166666666666	9640.6116	-3451.444933333334
2018-08-07 09:30:00	7827.5	10588.637999999999	-2761.137999999999
2018-08-07 10:00:00	7455.0	10895.1528	-3440.1528
2018-08-07 10:30:00	5768.333333333334	11388.9216	-5620.588266666666
2018-08-07 11:00:00	8606.666666666668	12043.8864	-3437.2197333333315
2018-08-07 11:30:00	10440.833333333332	11886.629399999998	-1445.7960666666659
2018-08-07 12:00:00	10174.166666666668	11425.221000000001	-1251.0543333333335
2018-08-07 12:30:00	7961.666666666666	11485.8816	-3524.2149333333346
2018-08-07 13:00:00	9408.333333333334	10162.8018	-754.4684666666653
2018-08-07 13:30:00	9719.166666666668	8184.3936	1534.7730666666675
2018-08-07 14:00:00	7505.0	9038.0658	-1533.0658000000003
2018-08-07 14:30:00	7023.333333333334	5147.2428	1876.090533333334
2018-08-07 15:00:00	6799.166666666667	5237.476199999999	1561.6904666666678
2018-08-07 15:30:00	6995.833333333334	5098.338599999999	1897.4947333333348
2018-08-07 16:00:00	6038.333333333334	3089.0244	2949.308933333334
2018-08-07 16:30:00	6017.5	3081.3887999999997	2936.1112000000003
2018-08-07 17:00:00	5680.0	2725.3032000000003	2954.6967999999997
2018-08-07 17:30:00	4645.0	1175.3976	3469.6023999999998
2018-08-07 18:00:00	4155.0	542.3094	3612.6906
2018-08-07 18:30:00	3765.0	233.30999999999997	3531.69
2018-08-07 19:00:00	3680.833333333333	46.90439999999999	3633.928933333333
2018-08-07 19:30:00	2821.666666666667	0.0	2821.666666666667
2018-08-07 20:00:00	2380.833333333333	0.0	2380.833333333333
2018-08-07 20:30:00	2048.333333333333	0.0	2048.333333333333
2018-08-07 21:00:00	1877.5	0.0	1877.5
2018-08-07 21:30:00	1568.3333333333333	0.0	1568.3333333333333
2018-08-07 22:00:00	1581.6666666666665	0.0	1581.6666666666665
2018-08-07 22:30:00	1507.5	0.0	1507.5
2018-08-07 23:00:00	1405.0	0.0	1405.0
2018-08-07 23:30:00	1402.5	0.0	1402.5
2018-08-08 00:00:00			
